val_loss,valid_dice,epoch,step,train_loss
0.6265721321105957,0.017119387164711952,116,350,
0.6265860795974731,0.017110373824834824,117,353,
0.6265424489974976,0.01708909496665001,118,356,
0.6265590786933899,0.017107021063566208,119,359,
0.6265282034873962,0.01710125245153904,120,362,
0.6263910531997681,0.01706879585981369,121,365,
0.6263234615325928,0.017066597938537598,122,368,
0.626336395740509,0.017066676169633865,123,371,
0.6262542605400085,0.01705862395465374,124,374,
0.6263337731361389,0.017077410593628883,125,377,
0.6262497901916504,0.017086995765566826,126,380,
0.6261858940124512,0.01710944063961506,127,383,
0.6261578798294067,0.01709199883043766,128,386,
0.6262640953063965,0.01707242988049984,129,389,
0.626194179058075,0.017102766782045364,130,392,
0.6261879205703735,0.01709502376616001,131,395,
0.6261605024337769,0.017100278288125992,132,398,
,,133,399,0.6304206252098083
